IE_XML_ID;IE_NAME;IE_ID;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP54;IP_PROP51;IP_PROP55;IP_PROP53;IP_PROP52;IC_GROUP0;IC_GROUP1;IC_GROUP2
1567;Бизнес-центр “Альянс” — г. Одинцово;1567;;text;"График работы:
Вторник, четверг 10:00 – 19:00
Воскресенье 10:00 – 14:00";text;biznes-tsentr-alyans-g-odintsovo;500;;info@kirpichbloki.ru;143041, Московская область, г. Одинцово, ул. Молодёжная, д.46, офис 522.; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1568;Бизнес-центр «Жулебино»;1568;БЦ «Жулебино»;text;"График работы:
Ежедневно 08:00 — 21:00";text;biznes-tsentr-zhulebino;500;; info@kirpichbloki.ru;109431, г.Москва, ул. Привольная, д. 70, оф. 601.; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1569;БЦ «Галерея Актер»;1569;;text;"(5 минут от метро «Жулебино»)
График работы:
08:00 — 21:00";text;bts-galereya-akter;500;; info@kirpichbloki.ru;г.Москва, ул.Тверская 16с1; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1570;БЦ «Симонов Плаза»;1570;;text;"г. Москва, м. Автозаводская (на реконструкции)
";text;bts-simonov-plaza;500;;info@keramstroi.ru;г. Москва, ул. Ленинская слобода, д. 26, стр. 5.; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;+7 (495) 125-30-45;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1571;ООО «Иринком»;1571;;text;"График работы:
Ежедневно с 09:00 до 21:00";text;ooo-irinkom;500;;info@keramstroi.ru;г. Москва, ул. Электродная, д.12, стр.1, оф. 411; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;+7 (495) 368-85-11;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1572;Фортунастрой;1572;Как проехать: 2 минуты пешком от метро Дубровка.;text;"Бурковецкий Родион Иванович
График работы:
Пн — Пт — 09:00 — 20:00
Сб — Вс — Выходной";text;fortunastroy;500;;fortunastroi@bk.ru;Москва, ул. Шарикоподшипниковская 22, подъезд №3, 2 этаж, офис слева; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;+7 (495) 517-98-64;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1572;Фортунастрой;1572;Как проехать: 2 минуты пешком от метро Дубровка.;text;"Бурковецкий Родион Иванович
График работы:
Пн — Пт — 09:00 — 20:00
Сб — Вс — Выходной";text;fortunastroy;500;;fortunastroi@bk.ru;Москва, ул. Шарикоподшипниковская 22, подъезд №3, 2 этаж, офис слева; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;+7 (925) 100-33-82;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1573;MosKeram — Бизнес-парк «Румянцево»;1573;Офис на Румянцево;text;"График работы:
ПРИЕМ ЗАКАЗОВ — ЕЖЕДНЕВНО с 08:00 до 22:00
ВРЕМЯ РАБОТЫ ОФИСА — Пн — Пт — 10:00 — 19:00";text;moskeram-biznes-park-rumyantsevo;500;;;Москва, Киевское ш. 1км,а. Бизнес-парк «Румянцево» Строение «В» подъезд №15; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1574;МЦК Локомотив — Бизнес центр «Дельта»;1574;;text;"Бизнес центр «Дельта»
м. Черкизовская
График работы:
ПРИЕМ ЗАКАЗОВ — ЕЖЕДНЕВНО с 08:00 до 22:00
ВРЕМЯ РАБОТЫ ОФИСА — Пн — Пт — 10:00 — 19:00";text;mtsk-lokomotiv-biznes-tsentr-delta;500;;;Москва, Щелковское ш, д. 2А офис 832 м. Черкизовская; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1575;«Строительный двор «Петровский»;1575;;text;;text;stroitelnyy-dvor-petrovskiy;500;;mail@vsebloki.ru;Московская область, Новорижское шоссе (9 км от МКАД) Красногорский район, деревня Михалково (вблизи дер. Глухово и Поздняково и БЦ «RIGA LAND»), участок З-33.; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;+7 (925) 506-33-44;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1576;Поставщик-М;1576;;text;"График работы:
09:00 до 18:00";text;postavshchik-m;500;;sale@postav-m.ru;г. Москва. Поселение Московский , Киевсоке шоссе ,22-й километр , владение 4 , блок б, Этаж , офис 8; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;+7 (499) 113-56-94;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1577;Торг Комплект ;1577;;text;;text;torg-komplekt-;500;;sale@postav-m.ru;г. Москва. Научный проезд д.10 (юго-запад) м.Калужская; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;+7 (495) 505-50-68;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1578;Торг Комплект ;1578;;text;;text;torg-komplekt-2;500;;sale@postav-m.ru;г.Москва, ул.Большая почтовая д.55/59 (центр) м.Электрозаводская; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;+7 (495) 669-40-64;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1579;Garden Slabs;1579;;text;;text;garden-slabs;500;;zakaz@gardenslabs.ru;Московская обл., городской округ Истра, пос. Октябрьской фабрики, 26; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;gardenslabs.ru;+7 (977) 803-66-88;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1579;Garden Slabs;1579;;text;;text;garden-slabs;500;;zakaz@gardenslabs.ru;Московская обл., городской округ Истра, пос. Октябрьской фабрики, 26; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;gardenslabs.ru;+7 (969) 040-10-40;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1580;ООО «Олторг»;1580;;text;координаты для навигатора: 55.929370, 36.627703;text;ooo-oltorg;500;;info@oltorg.ru;Московская область, городской округ Истра, село Лужки; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;https://oltorg.ru https://litos.moscow/ https://litos.com.ru/;+79776962877;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1580;ООО «Олторг»;1580;;text;координаты для навигатора: 55.929370, 36.627703;text;ooo-oltorg;500;;info@oltorg.ru;Московская область, городской округ Истра, село Лужки; Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;https://oltorg.ru https://litos.moscow/ https://litos.com.ru/;+79591300551;Г. МОСКВА, МОСКОВСКАЯ ОБЛАСТЬ;;
1581;«Культ Кирпича»;1581;;text;"Директор: Щипакин М.С.
Наш инстаграмм: https://www.instagram.com/kirpichb.ru/";text;kult-kirpicha2;500;;;г. Ростов-на-Дону Новочеркасское шоссе 15, рынок Атлант;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;https://kult-kirpicha.ru;8 (988) 544-37-51;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1581;«Культ Кирпича»;1581;;text;"Директор: Щипакин М.С.
Наш инстаграмм: https://www.instagram.com/kirpichb.ru/";text;kult-kirpicha2;500;;;г. Ростов-на-Дону Новочеркасское шоссе 15, рынок Атлант;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;https://kult-kirpicha.ru;8 (988) 569-13-99;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1581;«Культ Кирпича»;1581;;text;"Директор: Щипакин М.С.
Наш инстаграмм: https://www.instagram.com/kirpichb.ru/";text;kult-kirpicha2;500;;;г. Ростов-на-Дону Новочеркасское шоссе 15, рынок Атлант;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;https://kult-kirpicha.ru;8 (900) 123-43-43;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1582;«Культ Кирпича»;1582;;text;"Директор: Щипакин М.С.
Наш инстаграмм: https://www.instagram.com/kirpichb.ru/";text;kult-kirpicha3;500;;;Хутор Камышеваха, ул. Светлая 36;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;https://kult-kirpicha.ru; 8 (989) 616-15-17;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1582;«Культ Кирпича»;1582;;text;"Директор: Щипакин М.С.
Наш инстаграмм: https://www.instagram.com/kirpichb.ru/";text;kult-kirpicha3;500;;;Хутор Камышеваха, ул. Светлая 36;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;https://kult-kirpicha.ru;8 (904) 440-22-62;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1582;«Культ Кирпича»;1582;;text;"Директор: Щипакин М.С.
Наш инстаграмм: https://www.instagram.com/kirpichb.ru/";text;kult-kirpicha3;500;;;Хутор Камышеваха, ул. Светлая 36;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;https://kult-kirpicha.ru;8 (900) 123-43-43;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1583;«ГАЗОБЕТОН-ЮГСТРОЙ Газобетон строй»;1583;строймаркет КРАСОН;text;;text;gazobeton-yugstroy-gazobeton-stroy;500;;shop@crason.ru;г. Ростов-н-Дону, Малиновского 77;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;8 (918) 514-30-60;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1584;«ГАЗОБЕТОН-ЮГСТРОЙ Газобетон строй»;1584;строймаркет КРАСОН;text;;text;gazobeton-yugstroy-gazobeton-stroy2;500;;shop@crason.ru;г. Аксай, ул.Объездная 10;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;Тел. 8 (989) 729-29-41;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1585;«ГАЗОБЕТОН-ЮГСТРОЙ Газобетон строй»;1585;строймаркет КРАСОН;text;;text;gazobeton-yugstroy-gazobeton-stroy3;500;;shop@crason.ru;г. Аксай, ул. Шолохова 1;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;; 8 (918) 558-84-45;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1586;«ГАЗОБЕТОН-ЮГСТРОЙ Газобетон строй»;1586;строймаркет КРАСОН;text;;text;gazobeton-yugstroy-gazobeton-stroy4;500;;shop@crason.ru;г. Батайск, ул.Фермерская 21;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;8 (988) 890-99-11;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1587;«ГАЗОБЕТОН-ЮГСТРОЙ Газобетон строй»;1587;строймаркет КРАСОН;text;;text;gazobeton-yugstroy-gazobeton-stroy5;500;;shop@crason.ru;г. Новочеркасск, Новочеркасское шоссе 1В;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;8 (918) 520-20-84;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1588;«ГАЗОБЕТОН-ЮГСТРОЙ Газобетон строй»;1588;строймаркет КРАСОН;text;;text;gazobeton-yugstroy-gazobeton-stroy6;500;;shop@crason.ru;г. Новочеркасск, Харьковское шоссе 30Г;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;8 (918) 520-23-06;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1589;Кирпич от А до Я;1589;;text;Валерий Валентинович;text;kirpich-ot-a-do-ya;500;;;г. Ростов-на-Дону, ул. Малиновского, 73;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;; 8 928 159 20 86;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1590;Строймаркет КРАСОН;1590;;text;;text;stroymarket-krason;500;;shop@crason.ru;г.Аксай, ул.Объездная, 10;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;8 989 729 29 41;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1591;«Кирпич & Ko»;1591;;text;;text;kirpich-ko;500;;bt.baza@mail.ru;г. Батайск, ул. Фермерская, 4А;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;8 (863) 310-16-15;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1592;OOO ГазобетонЮгСтрой;1592;;text;;text;ooo-gazobetonyugstroy;500;; bataysk@rostovgazobeton.ru;г. Батайск, ул. Фермерская 12;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;89185593321;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1593; ИП Ильянов И.А.;1593;(ТМ «СтройДвор»);text;;text;ip-ilyanov-i-a;500;;dnechaev@bk.ru;г. Таганрог, ул. Чехова, 207;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;8 (918) 559 33 21 ‎;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
1594;«Кирпич & Ko»;1594;;text;;text;kirpich-ko2;500;;ch.baza@mail.ru;п. Крым (Чалтырь), Большесальская улица, 69А;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;8 (863) 310-16-17;Г. РОСТОВ-НА-ДОНУ, РОСТОВСКАЯ ОБЛАСТЬ;;
